candidate_id,problem,language,submission_id,source_file,issue_id,severity,line,column,message,risk,code_before,code_at_line,code_after,approved_for_removal,review_notes
unused_000001,cutiile-magice,cpp,1314234678,cutiile-magice/1314234678.cpp,unusedVariable,style,11,13,Unused variable: j,medium,,"float i,j,k,n;",float rez;,FALSE,
unused_000002,cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,unusedVariable,style,11,13,Unused variable: j,medium,,"float i,j,k,n;",float rez;,FALSE,
unused_000003,cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,unreadVariable,style,29,11,Variable 'i' is assigned a value that is never used.,medium,},i = (int)rez;,rez = 0;,FALSE,
unused_000004,cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,unusedFunction,style,8,8,The function 'myFraction' is never used.,high,,"double myFraction(int x, int n)",{,FALSE,
unused_000005,cutiile-magice,cpp,1314236059,cutiile-magice/1314236059.cpp,unusedVariable,style,14,11,Unused variable: j,medium,double res = n;,"int i,j;",double auxSum;,FALSE,
unused_000006,cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,unusedFunction,style,8,8,The function 'myFraction' is never used.,high,,"double myFraction(int x, int n)",{,FALSE,
unused_000007,cutiile-magice,cpp,1314236649,cutiile-magice/1314236649.cpp,unreadVariable,style,13,33,Variable 'aux' is assigned a value that is never used.,medium,int k;,"long double n, res = 0, aux = 0;",long double prob[51][11];,FALSE,
unused_000008,cutiile-magice,cpp,1314236669,cutiile-magice/1314236669.cpp,unusedVariable,style,23,13,Unused variable: i,medium,cin.tie(NULL);,"int N,K,i;",cin>>N>>K;,FALSE,
unused_000009,cutiile-magice,cpp,1314236710,cutiile-magice/1314236710.cpp,unreadVariable,style,13,33,Variable 'aux' is assigned a value that is never used.,medium,int k;,"long double n, res = 0, aux = 0;",long double prob[51][11];,FALSE,
unused_000010,cutiile-magice,cpp,1314236738,cutiile-magice/1314236738.cpp,unusedVariable,style,12,13,Unused variable: j,medium,,"float i,j,k,n;",float rez;,FALSE,
unused_000011,cutiile-magice,cpp,1314236883,cutiile-magice/1314236883.cpp,unusedVariable,style,23,13,Unused variable: i,medium,cin.tie(NULL);,"int N,K,i;",cin>>N>>K;,FALSE,
unused_000012,cutiile-magice,cpp,1314237078,cutiile-magice/1314237078.cpp,unreadVariable,style,13,28,Variable 'aux' is assigned a value that is never used.,medium,int k;,"double n, res = 0, aux = 0;",double prob[11][51];,FALSE,
unused_000013,cutiile-magice,cpp,1314237078,cutiile-magice/1314237078.cpp,unreadVariable,style,47,13,Variable 'aux' is assigned a value that is never used.,medium,res += i * prob[k][i];,aux += prob[k][i];,},FALSE,
unused_000014,cutiile-magice,cpp,1314237155,cutiile-magice/1314237155.cpp,unusedVariable,style,12,13,Unused variable: j,medium,,"float i,j,k,n;",float rez;,FALSE,
unused_000015,cutiile-magice,cpp,1314237197,cutiile-magice/1314237197.cpp,unusedVariable,style,11,15,Unused variable: y,medium,"double n, k;","double x, y;",x = 0;,FALSE,
unused_000016,cutiile-magice,cpp,1314287538,cutiile-magice/1314287538.cpp,unreadVariable,style,16,30,Variable 'probs' is assigned a value that is never used.,medium,},"std::vector<double> probs(n, 1);","int i, j, l;",FALSE,
unused_000017,cutiile-magice,cpp,1314287538,cutiile-magice/1314287538.cpp,unusedVariable,style,17,12,Unused variable: j,medium,"std::vector<double> probs(n, 1);","int i, j, l;",double x = n;,FALSE,
unused_000018,cutiile-magice,cpp,1314287538,cutiile-magice/1314287538.cpp,unusedVariable,style,17,15,Unused variable: l,medium,"std::vector<double> probs(n, 1);","int i, j, l;",double x = n;,FALSE,
unused_000019,cutiile-magice,cpp,1332587187,cutiile-magice/1332587187.cpp,unreadVariable,style,61,16,Variable 'task' is assigned a value that is never used.,medium,int main() {,auto* task = new (std::nothrow) Task{};,if (!task) {,FALSE,
unused_000020,cutiile-magice,cpp,1332595204,cutiile-magice/1332595204.cpp,unreadVariable,style,53,16,Variable 'task' is assigned a value that is never used.,medium,int main() {,auto* task = new (std::nothrow) Task{};,if (!task) {,FALSE,
unused_000021,cutiile-magice,cpp,1332595217,cutiile-magice/1332595217.cpp,unreadVariable,style,53,16,Variable 'task' is assigned a value that is never used.,medium,int main() {,auto* task = new (std::nothrow) Task{};,if (!task) {,FALSE,
unused_000022,cutiile-magice,cpp,1342825484,cutiile-magice/1342825484.cpp,unusedFunction,style,30,4,The function 'mypowr' is never used.,high,ll const md=998244353LL;,"ll mypowr(ll a,ll b, ll mod1) {ll res=1;if(b<0)b=0;a%=mod1; assert(b>=0);",for(;b;b>>=1){if(b&1)res=res*a%mod1;a=a*a%mod1;}return res;},FALSE,
