file,user_id,attempt_number,submission_id,language,original_language,result,score,timestamp,code_length,code_lines,algorithm,implementation_type,confidence,notes
1314236204.cpp,user_0010,1,1314236204,cpp,cpp,Wrong Answer,47.5,91,2634,82,DEGREE_DFS_REACHABILITY,Minimum-indegree candidate DFS on original graph + minimum-outdegree candidate DFS on transposed graph,high,Degree-guided two-sided reachability heuristic.
1314236379.cpp,user_0010,2,1314236379,cpp,cpp,Wrong Answer,47.5,102,2587,80,DEGREE_DFS_REACHABILITY,Minimum-indegree candidate DFS on original graph + minimum-outdegree candidate DFS on transposed graph,high,Degree-guided two-sided reachability heuristic; same family as 1314236204.
1314236788.cpp,user_0010,7,1314236788,cpp,cpp,Wrong Answer,47.5,128,2304,72,DEGREE_DFS_REACHABILITY,Minimum-indegree/minimum-outdegree vertex selection + DFS on graph and transpose,high,"Uses degree extrema to choose candidates, then checks full reachability in both graph directions."
1314236920.cpp,user_0010,10,1314236920,cpp,cpp,Wrong Answer,47.5,135,2690,79,DEGREE_DFS_REACHABILITY,DFS on graph/transpose for all minimum-degree candidates,high,Tests all vertices attaining the minimum degree values with reachability DFS.
1314236163.cpp,user_0014,1,1314236163,cpp,cpp,Wrong Answer,47.5,89,1021,50,DEGREE_HEURISTIC,Unique zero-indegree / zero-outdegree vertex count only,high,Degree-only source/sink heuristic; no traversal or topological sort.
1314237580.cpp,user_0014,3,1314237580,cpp,cpp,Wrong Answer,47.5,171,970,47,DEGREE_HEURISTIC,Unique zero-indegree / zero-outdegree vertex count only,high,Degree-only source/sink heuristic; no traversal.
1314237062.cpp,user_0019,1,1314237062,cpp,cpp,Wrong Answer,47.5,145,2326,85,DEGREE_BFS_REACHABILITY,"Find zero-indegree boss candidates, then BFS from each candidate",high,Uses indegree information to select roots and BFS to require full reachability.
1323409209.cpp,user_0021,1,1323409209,cpp,cpp,Wrong Answer,47.5,520987,1694,67,DEGREE_DFS_REACHABILITY,Unique source/sink degree precheck + DFS from the zero-indegree root,high,Combines degree-presence checks with a reachability DFS from the candidate source.
1323450152.cpp,user_0022,2,1323450152,cpp,cpp,Wrong Answer,47.5,522945,1653,75,BIDIRECTIONAL_DFS_REACHABILITY,DFS from vertex 1 in original graph + DFS from vertex 1 in transposed graph,high,Checks whether every vertex is comparable with vertex 1 in at least one direction.
1391779874.cpp,user_0034,2,1391779874,cpp,cpp,Wrong Answer,47.5,3141468,1002,43,DEGREE_HEURISTIC,Count zero-outdegree and zero-indegree vertices,high,Rejects when more than one sink or more than one source exists; no traversal.
1333805821.cpp,user_0043,1,1333805821,cpp,cpp,Wrong Answer,47.5,1077921,989,50,DEGREE_HEURISTIC,Require exactly one source and exactly one sink,high,Degree-only unique source/sink heuristic; in/out variable names are reversed.
1314158851.cpp,user_0053,2,1314158851,cpp,cpp,Terminated due ...,47.5,-7312,1253,63,KAHN,Indegree array + FIFO queue + consecutive-edge uniqueness check,high,Standard Kahn topological sort followed by direct-edge checks between consecutive vertices.
1391779860.cpp,user_0034,1,1391779860,cpp,cpp,Wrong Answer,45.0,3141457,847,38,DEGREE_HEURISTIC,Sink-count heuristic,high,Counts outdegree-zero vertices and rejects if at least two sinks exist.
1314158843.cpp,user_0053,1,1314158843,cpp,cpp,Terminated due ...,45.0,-7313,1253,63,KAHN,Indegree array + FIFO queue + consecutive-edge uniqueness check,high,Standard Kahn topological sort; algorithmically identical to 1314158851.
1314184304.java,user_0047,3,1314184304,java,java,Terminated due ...,25.0,-5440,2598,112,REPEATED_DFS_REACHABILITY,DFS from every vertex + boolean all-pairs reachability matrix,high,"Computes reachability from every source with DFS, then checks pairwise comparability."
1314212329.cpp,user_0048,1,1314212329,cpp,cpp,Terminated due ...,25.0,-2367,1111,55,DFS_TRANSITIVE_CLOSURE,DFS on DAG + bitset union of descendant reachability sets,high,Computes transitive closure by propagating bitset reachability information during DFS.
1314184031.java,user_0047,2,1314184031,java,java,Terminated due ...,22.5,-5486,3145,126,FLOYD_WARSHALL,Adjacency matrix + Roy-Floyd triple loop + pairwise comparability check,high,Classic Floyd-Warshall/Roy-Floyd all-pairs path computation.
1314237712.java,user_0009,2,1314237712,java,java8,Terminated due ...,15.0,177,2677,112,REPEATED_DFS_REACHABILITY,DFS from every vertex + reachability matrix,high,"Repeated DFS computes all-pairs reachability, followed by pairwise comparability testing."
1323449733.java,user_0013,2,1323449733,java,java,Terminated due ...,15.0,522915,3732,144,DFS_TOPOLOGICAL,Recursive DFS postorder topological sort + DFS reachability checks from ordered vertices,high,"Builds reverse-postorder topological order, then validates reachability between ordered vertices."
1323449824.cpp,user_0022,1,1323449824,cpp,cpp,Terminated due ...,15.0,522921,1760,80,BIDIRECTIONAL_DFS_REACHABILITY,For every vertex: DFS in original graph + DFS in transposed graph,high,Repeated two-direction reachability test for pairwise comparability.
1323374501.java,user_0026,1,1323374501,java,java8,Terminated due ...,15.0,518786,3663,122,KAHN,Indegree-based topological sort using a LIFO stack + reachability scan,high,Kahn-family zero-indegree removal with additional reachability validation.
1323388419.cpp,user_0027,1,1323388419,cpp,cpp,Terminated due ...,15.0,519751,2149,105,KAHN,FIFO Kahn topological sort + BFS from each topological-order vertex,high,"Uses Kahn to obtain an order, then repeated BFS to test reachability among later vertices."
1391864412.cpp,user_0033,1,1391864412,cpp,cpp,Terminated due ...,15.0,3145372,1310,58,REPEATED_DFS_REACHABILITY,DFS from every vertex + all-pairs reachability matrix,high,Repeated DFS computes reachability for every source and checks whether each pair is comparable.
1391864462.cpp,user_0036,1,1391864462,cpp,cpp,Terminated due ...,15.0,3145378,1347,52,REPEATED_BFS_REACHABILITY,BFS from every vertex + reachability matrix,high,Repeated BFS intended to compute all-pairs reachability; implementation is buggy but intended algorithm is clear.
