submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1370607065,user_0287,cpp_c_0,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1344626355,user_0096,cpp_c_0,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1314234451,user_0071,cpp_c_0,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1344373888,user_0259,cpp_c_1,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1314234384,user_0289,cpp_c_1,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1332550913,user_0074,cpp_c_1,50.0,cpp,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1323422331,user_0110,java_0,50.0,java,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1391907417,user_0163,java_0,50.0,java,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1323366910,user_0109,java_0,50.0,java,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1391817300,user_0268,java_1,50.0,java,Find maximum diamond value reachable within P grid moves,BFS radius,4-neighbour BFS limited to P moves,high,"Starts from (L,C), expands grid neighbours with a queue, and stops expansion at radius P.",1
1391995049,user_0236,java_1,50.0,java,Find maximum diamond value reachable within P grid moves,Row-bounds scan,Row-by-row diamond bounds,high,For each row derives the valid column interval from P-|row-L| and scans only cells inside the Manhattan diamond.,1
1314234433,user_0231,java_1,50.0,java,Find maximum diamond value reachable within P grid moves,Manhattan scan,Full grid scan filtered by Manhattan distance,high,Scans every cell and keeps it iff |row-L|+|col-C|<=P.,1
1314236523,,,,java,Find maximum diamond value reachable within P grid moves,Sorted Manhattan,Sort candidate cells/values then apply Manhattan feasibility,high,Uses sorting/order to examine promising cells and validates reachability with the Manhattan-distance constraint. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1314237177,,,,,Find maximum diamond value reachable within P grid moves,Sorted Manhattan,Sort candidate cells/values then apply Manhattan feasibility,high,Uses sorting/order to examine promising cells and validates reachability with the Manhattan-distance constraint. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
1344697187,,,,cpp,Find maximum diamond value reachable within P grid moves,Ring scan,Diamond/ring perimeter scan by Manhattan radius,high,Enumerates cells on successive Manhattan-distance rings instead of scanning the whole grid. Label reconstructed from the manual source review; unavailable metadata fields were left blank rather than guessed.,2
