problem,language,first_submission_id,second_submission_id,first_user_id,second_user_id,first_score,second_score,first_result,second_result,first_timestamp,second_timestamp,same_user,same_score,same_result,safe_to_remove,kept_submission_id,removed_submission_id,reason
cutiile-magice,cpp,1323431099,1323431291,user_0009,user_0009,2.78,2.78,Wrong Answer,Wrong Answer,521766,521781,True,True,True,True,1323431099,1323431291,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1323431865,1323431878,user_0009,user_0009,50.0,50.0,Accepted,Accepted,521848,521849,True,True,True,True,1323431865,1323431878,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1323431350,1323431415,user_0015,user_0015,2.78,2.78,Wrong Answer,Wrong Answer,521788,521795,True,True,True,True,1323431350,1323431415,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1314237078,1314237111,user_0020,user_0020,50.0,50.0,Accepted,Accepted,145,147,True,True,True,True,1314237078,1314237111,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1314237078,1314237121,user_0020,user_0020,50.0,50.0,Accepted,Accepted,145,148,True,True,True,True,1314237078,1314237121,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1314237111,1314237121,user_0020,user_0020,50.0,50.0,Accepted,Accepted,147,148,True,True,True,True,1314237111,1314237121,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729739,1344729751,user_0031,user_0031,8.33,8.33,Wrong Answer,Wrong Answer,1586134,1586139,True,True,True,True,1344729739,1344729751,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729743,1344729748,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586135,1586137,True,True,True,True,1344729743,1344729748,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729743,1344729753,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586135,1586140,True,True,True,True,1344729743,1344729753,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729743,1344729754,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586135,1586140,True,True,True,True,1344729743,1344729754,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729743,1344729756,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586135,1586142,True,True,True,True,1344729743,1344729756,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729748,1344729753,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586137,1586140,True,True,True,True,1344729748,1344729753,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729748,1344729754,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586137,1586140,True,True,True,True,1344729748,1344729754,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729748,1344729756,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586137,1586142,True,True,True,True,1344729748,1344729756,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729753,1344729754,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586140,1586140,True,True,True,True,1344729753,1344729754,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729753,1344729756,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586140,1586142,True,True,True,True,1344729753,1344729756,"JPlag AVG 100, same user, same score, same result"
cutiile-magice,cpp,1344729754,1344729756,user_0031,user_0031,5.56,5.56,Wrong Answer,Wrong Answer,1586140,1586142,True,True,True,True,1344729754,1344729756,"JPlag AVG 100, same user, same score, same result"
