submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1314222795,user_0323,,50.0,cpp,Compute maximum number of fashionable left-right sock pairs,Frequency-counting greedy,Fixed-size frequency counts + greedy wildcard matching,high,"Counts a-z and *, matches equal colours first, then consumes wildcard socks.",1
1314235852,user_0243,,1.04,java,Compute maximum number of fashionable left-right sock pairs,Frequency-counting greedy,Fixed-size frequency counts + greedy wildcard matching,high,"Counts a-z and *, matches equal colours first, then consumes wildcard socks.",1
1314236657,user_0083,,50.0,cpp,Compute maximum number of fashionable left-right sock pairs,Sort + two pointers,Sort both sides + two-pointer matching,high,Sorts the sock labels and advances two indices to match equal colours while handling wildcards.,1
1314237256,user_0339,,1.04,java,Compute maximum number of fashionable left-right sock pairs,Sort + two pointers,Sort both sides + two-pointer matching,high,Sorts the sock labels and advances two indices to match equal colours while handling wildcards.,1
1331754276,user_0236,,50.0,cpp,Compute maximum number of fashionable left-right sock pairs,Multiset greedy matching,Multiset / unordered_multiset find-and-erase greedy,high,Stores one side in a multiset and repeatedly erases an exact colour or wildcard match.,1
1314237474,user_0292,,19.79,java,Compute maximum number of fashionable left-right sock pairs,Priority-queue matching,Priority queues for ordered non-wildcard matching,high,Orders non-wildcard socks in heaps and matches them while keeping star counts separately.,1
1314236964,user_0292,,18.75,java,Compute maximum number of fashionable left-right sock pairs,Priority-queue matching,Priority queues for ordered non-wildcard matching,high,Orders non-wildcard socks in heaps and matches them while keeping star counts separately.,1
1391927824,user_0222,,3.13,cpp,Compute maximum number of fashionable left-right sock pairs,LCS-style dynamic programming,2D LCS-style DP over string positions,high,Compatible pair advances both indices; otherwise takes the best prefix state.,1
1314237221,user_0010,,1.04,java,Compute maximum number of fashionable left-right sock pairs,LCS-style dynamic programming,2D LCS-style DP over string positions,high,Compatible pair advances both indices; otherwise takes the best prefix state.,1
1314236496,user_0114,,8.33,java,Compute maximum number of fashionable left-right sock pairs,Brute-force pair matching,Nested i-j partner search with used flags,high,Tries compatible partners explicitly and marks socks already paired.,1
1323073485,user_0187,,1.04,cpp,Compute maximum number of fashionable left-right sock pairs,Brute-force pair matching,Nested i-j partner search with used flags,high,Tries compatible partners explicitly and marks socks already paired.,1
