problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
gigel-si-raspandirea-vestilor,1314234443,user_0394,2.5,java,dijkstra,1314236937,0.380682,0.891813,0.05,0.500953,0.0,0.500953,medium,22,3,19,13.64,12,0,7,False,"[""input00.txt"", ""input01.txt"", ""input11.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],"[""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",7.583512,0.344705,0.640141
gigel-si-raspandirea-vestilor,1314234692,user_0010,2.5,java,unknown,1314236937,0.373494,0.878223,0.05,0.492563,0.0,0.492563,low,22,2,20,9.09,18,2,0,False,"[""input01.txt"", ""input03.txt""]","[""input00.txt"", ""input02.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input05.txt"", ""input08.txt""]",[],15.517952,0.705361,3.0
gigel-si-raspandirea-vestilor,1314234746,user_0343,2.5,cpp,unknown,1344636729,0.0,0.894669,1.0,0.368401,0.346582,0.021819,low,22,3,19,13.64,12,1,6,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input15.txt""]","[""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",5.675805,0.257991,3.0
gigel-si-raspandirea-vestilor,1314234773,user_0143,2.5,java,unknown,1314236937,0.343023,0.90836,0.05,0.483322,0.0,0.483322,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],10.541972,0.479181,0.821083
gigel-si-raspandirea-vestilor,1314234935,user_0394,2.5,java,unknown,1314236937,0.381766,0.802321,0.05,0.474756,0.0,0.474756,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],11.390081,0.517731,1.002345
gigel-si-raspandirea-vestilor,1314235001,user_0459,2.5,java,unknown,1314236937,0.333333,0.905172,0.05,0.476552,0.0,0.476552,low,22,3,19,13.64,16,0,3,False,"[""input00.txt"", ""input01.txt"", ""input11.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],"[""input19.txt"", ""input20.txt"", ""input21.txt""]",9.263787,0.421081,0.83251
gigel-si-raspandirea-vestilor,1314235032,user_0019,2.5,java,unknown,1314236937,0.328431,0.884518,0.05,0.467414,0.0,0.467414,low,22,3,19,13.64,12,0,7,False,"[""input00.txt"", ""input01.txt"", ""input11.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],"[""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",6.876753,0.31258,0.717687
gigel-si-raspandirea-vestilor,1314235050,user_0081,2.5,cpp,unknown,1344636729,0.0,0.849462,1.0,0.354839,0.349904,0.004934,low,22,3,19,13.64,11,4,4,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input13.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt""]","[""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",19.795273,0.899785,3.0
gigel-si-raspandirea-vestilor,1314235299,user_0394,2.5,java,unknown,1314236937,0.378531,0.891355,0.05,0.499525,0.0,0.499525,low,22,3,19,13.64,12,0,7,False,"[""input00.txt"", ""input01.txt"", ""input11.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],"[""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",6.445385,0.292972,1.019981
gigel-si-raspandirea-vestilor,1314235324,user_0133,2.5,java,unknown,1314236937,0.351515,0.844744,0.05,0.469332,0.0,0.469332,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input11.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],6.646313,0.302105,0.596083
